com.samsung.health.floors_climbed,6195017,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-13 05:00:20.001,,2021-10-13 06:09:28.363,2021-10-13 06:09:28.294,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 05:00:59.000,87259231-ea75-4a70-a137-2e72734b4505,
2021-10-28 00:32:22.001,,2021-10-28 00:55:13.501,2021-10-28 00:55:13.363,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-28 00:32:37.000,cabbcafb-ed95-40b7-b589-5ef7c27b4e2a,
2021-10-27 22:50:17.999,,2021-10-28 00:21:06.374,2021-10-28 00:21:06.173,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 22:50:26.001,25f48747-21cb-4315-b4f8-57bca8f5eaba,
2021-10-20 05:27:27.000,,2021-10-20 06:05:24.039,2021-10-20 06:05:23.743,4.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-20 05:28:36.000,aa8f22f9-8399-469e-a970-bb5c4be08102,
2021-10-29 08:21:09.000,,2021-10-29 08:43:12.584,2021-10-29 08:43:12.529,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 08:21:24.000,fea4f8b3-d39e-45b4-9f57-c3d9e04737dd,
2021-10-29 06:13:49.000,,2021-10-29 06:16:08.801,2021-10-29 06:16:08.323,4.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-29 06:15:06.000,3e9a370f-b224-42eb-be2b-18441fbff5e1,
2021-11-01 02:46:10.000,,2021-11-01 03:09:32.805,2021-11-01 03:09:32.648,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-11-01 02:46:36.000,9b9a6842-99fc-4dbe-895f-7be2bcbae234,
2021-10-22 10:12:27.000,,2021-10-22 10:18:23.024,2021-10-22 10:18:22.855,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-22 10:12:42.000,87edcb66-c0af-4c57-8c38-500cdd1dee34,
2021-10-01 05:16:22.999,,2021-10-01 05:21:58.964,2021-10-01 05:21:58.918,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 05:16:49.000,00e1e00f-42ac-4ab9-b2f5-83471bf8721b,
2021-10-01 08:24:48.999,,2021-10-01 08:26:09.560,2021-10-01 08:26:09.438,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 08:25:05.001,5750ac7b-94d7-4729-aa34-f338845f5c6a,
