com.samsung.shealth.tracker.pedometer_day_summary,6195017,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
23,31aef05a-a3f7-4ab4-8909-580d42acd188.binning_data.json,11541,6000,0,2021-10-11 21:38:26.248,com.sec.android.app.shealth,2021-10-11 21:38:26.248,31aef05a-a3f7-4ab4-8909-580d42acd188.source_info.json,1.4053228,16.220001,0.65,23,VfS0qUERdZ,com.sec.android.app.shealth,0,31aef05a-a3f7-4ab4-8909-580d42acd188.achievement.json,31aef05a-a3f7-4ab4-8909-580d42acd188,1633910400000,
8473,92a0ee06-a163-460f-9342-6a1914acd198.binning_data.json,4694196,6000,81,2021-10-06 16:25:18.772,com.sec.android.app.shealth,2021-10-06 16:25:18.772,,1.25224,5878.2603,254.54063,8392,DQQ9M5Fmpd,com.sec.android.app.shealth,0,92a0ee06-a163-460f-9342-6a1914acd198.achievement.json,92a0ee06-a163-460f-9342-6a1914acd198,1633478400000,
2545,4476330a-0531-42bd-8622-7719822c7065.binning_data.json,1388903,6000,4,2021-10-05 07:31:37.868,com.sec.android.app.shealth,2021-10-05 07:31:37.868,4476330a-0531-42bd-8622-7719822c7065.source_info.json,1.3920689,1933.45,130.75,2541,VfS0qUERdZ,com.sec.android.app.shealth,0,4476330a-0531-42bd-8622-7719822c7065.achievement.json,4476330a-0531-42bd-8622-7719822c7065,1632268800000,
7584,c7377848-5587-409b-9582-fbc8445fab61.binning_data.json,4207414,6000,20,2021-10-09 15:00:13.831,com.sec.android.app.shealth,2021-10-08 15:46:55.266,,1.2478185,5250.09,232.40138,7564,DQQ9M5Fmpd,com.sec.android.app.shealth,0,c7377848-5587-409b-9582-fbc8445fab61.achievement.json,c7377848-5587-409b-9582-fbc8445fab61,1633651200000,
7429,53146782-0081-42bd-a5c3-bcf2f185ad72.binning_data.json,4157694,6000,15,2021-10-05 07:03:11.529,com.sec.android.app.shealth,2021-10-05 07:03:11.529,,1.3437064,5586.72,379.63,7414,6fPiwL19M5,com.sec.android.app.shealth,0,53146782-0081-42bd-a5c3-bcf2f185ad72.achievement.json,53146782-0081-42bd-a5c3-bcf2f185ad72,1632960000000,
3300,3f3b8cd0-ed28-4f3f-bdee-78a9d9b32579.binning_data.json,1882302,6000,7,2021-10-05 07:31:36.144,com.sec.android.app.shealth,2021-10-05 07:31:36.144,3f3b8cd0-ed28-4f3f-bdee-78a9d9b32579.source_info.json,1.352716,2546.22,165.8,3293,VfS0qUERdZ,com.sec.android.app.shealth,0,3f3b8cd0-ed28-4f3f-bdee-78a9d9b32579.achievement.json,3f3b8cd0-ed28-4f3f-bdee-78a9d9b32579,1633219200000,
3838,ae7b2f90-e786-46a5-959a-e5be7abcef15.binning_data.json,2239799,6000,0,2021-10-12 15:03:09.999,com.sec.android.app.shealth,2021-10-10 15:00:09.657,,1.1678463,2615.7417,110.68062,3838,DQQ9M5Fmpd,com.sec.android.app.shealth,0,ae7b2f90-e786-46a5-959a-e5be7abcef15.achievement.json,ae7b2f90-e786-46a5-959a-e5be7abcef15,1633824000000,
4183,25143478-0a26-42db-b18f-dd3c206ed106.binning_data.json,2434149,6000,0,2021-10-05 07:31:38.603,com.sec.android.app.shealth,2021-10-05 07:31:38.603,25143478-0a26-42db-b18f-dd3c206ed106.source_info.json,1.3121253,3193.91,208.33,4183,VfS0qUERdZ,com.sec.android.app.shealth,0,25143478-0a26-42db-b18f-dd3c206ed106.achievement.json,25143478-0a26-42db-b18f-dd3c206ed106,1631923200000,
7589,1384fae9-d4d5-4db1-83c4-64ef3bcc7c89.binning_data.json,3768703,6000,64,2021-10-13 15:00:03.281,com.sec.android.app.shealth,2021-10-13 15:00:03.281,,1.365512,5146.21,238.74,7525,6fPiwL19M5,com.sec.android.app.shealth,0,1384fae9-d4d5-4db1-83c4-64ef3bcc7c89.achievement.json,1384fae9-d4d5-4db1-83c4-64ef3bcc7c89,1634083200000,
5318,bdeaf03b-acda-41ee-93b6-c46258c1d6e0.binning_data.json,2808719,6000,0,2021-10-13 15:00:05.410,com.sec.android.app.shealth,2021-10-12 15:03:10.082,,1.3348323,3749.1702,158.56978,5318,DQQ9M5Fmpd,com.sec.android.app.shealth,0,bdeaf03b-acda-41ee-93b6-c46258c1d6e0.achievement.json,bdeaf03b-acda-41ee-93b6-c46258c1d6e0,1633996800000,
