com.samsung.shealth.activity.day_summary,6195017,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
9751,6006599,90,0,2021-10-05 07:03:10.157,2021-10-01 01:43:52.738,-1,300000,111,7430.177,492.66992,9f190783-cccb-4bac-a45a-958d1e66e771.extra_data.json,6fPiwL19M5,2051,com.sec.android.app.shealth,6004548,18120000,9f190783-cccb-4bac-a45a-958d1e66e771,1632873600000,
4617,3029512,90,0,2021-11-01 05:05:33.338,2021-10-31 15:00:00.531,-1,787582,55,3142.7024,237.40175,43488cf8-f562-47d5-ae06-3b100eeb8f6c.extra_data.json,6fPiwL19M5,4998,com.sec.android.app.shealth,3024514,22740000,43488cf8-f562-47d5-ae06-3b100eeb8f6c,1635724800000,
6680,3868794,90,0,2021-10-22 21:46:22.521,2021-10-21 16:50:58.953,-1,300000,71,4609.0513,204.45003,15548380-01ee-45ee-af1f-f6946e6989f9.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,3868794,28800000,15548380-01ee-45ee-af1f-f6946e6989f9,1634860800000,
9551,5738543,90,0,2021-10-06 10:16:20.695,2021-10-05 16:29:17.865,-1,861693,105,6275.2637,294.04755,582aaa97-33e7-47f3-bc3f-99d15d18501a.extra_data.json,6fPiwL19M5,32209,com.sec.android.app.shealth,5706334,19140000,582aaa97-33e7-47f3-bc3f-99d15d18501a,1633478400000,
4940,2908896,90,0,2021-10-29 00:28:08.845,2021-10-27 15:36:49.033,-1,360000,53,3586.4622,215.77065,b512e8e2-a244-429b-a0a8-7593a77ee1ab.extra_data.json,6fPiwL19M5,11257,com.sec.android.app.shealth,2897639,18960000,b512e8e2-a244-429b-a0a8-7593a77ee1ab,1635379200000,
4871,3141937,90,0,2021-10-05 07:03:06.098,2021-10-01 01:43:43.743,-1,240000,57,3605.3796,254.65001,d72068fb-3362-4739-a723-68db595aa2bd.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,3141937,27120000,d72068fb-3362-4739-a723-68db595aa2bd,1631059200000,
5946,3582058,90,0,2021-10-12 21:50:40.747,2021-10-11 15:20:07.929,-1,986481,65,4012.65,204.98923,4e76e8d2-2d8c-4f2d-a251-bb7954acbec1.extra_data.json,6fPiwL19M5,10944,com.sec.android.app.shealth,3571114,32760000,4e76e8d2-2d8c-4f2d-a251-bb7954acbec1,1633996800000,
3522,2188020,90,0,2021-10-05 07:03:07.202,2021-10-01 01:43:46.220,-1,180000,40,2615.9895,184.28,05d34c54-94df-4e4c-91f4-67eb6323e2fd.extra_data.json,6fPiwL19M5,800,com.sec.android.app.shealth,2187220,21600000,05d34c54-94df-4e4c-91f4-67eb6323e2fd,1631577600000,
6527,4031070,90,0,2021-10-20 00:48:36.768,2021-10-18 15:00:01.708,-1,641911,74,4435.875,207.43307,e772e303-1bb1-4268-9339-499983e073a6.extra_data.json,6fPiwL19M5,6400,com.sec.android.app.shealth,4024670,27660000,e772e303-1bb1-4268-9339-499983e073a6,1634601600000,
2210,1435264,90,0,2021-10-05 07:03:08.074,2021-10-01 01:43:49.030,-1,120000,25,1659.2102,111.570015,01f88c61-e346-4a15-a546-deeb13d6218b.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,1435264,25260000,01f88c61-e346-4a15-a546-deeb13d6218b,1632096000000,
56,37352,90,0,2021-10-24 21:16:47.039,2021-10-23 15:05:29.259,-1,10672,0,39.88,1.62,35b2a6e0-a9e3-454e-826a-d5bf37d46d6a.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,37352,48240000,35b2a6e0-a9e3-454e-826a-d5bf37d46d6a,1635033600000,
76,50692,90,0,2021-10-30 21:40:28.623,2021-10-29 17:06:38.712,-1,16008,0,53.52,3.4,e8f6a4ca-6d15-4342-afff-3b8f0c49c819.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,50692,60959999,e8f6a4ca-6d15-4342-afff-3b8f0c49c819,1635552000000,
1663,1062411,90,0,2021-10-05 07:03:09.304,2021-10-01 01:43:51.393,-1,240000,18,1274.2603,83.45,189806fe-ca92-431d-978e-98a5af1f10ed.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,1062411,35280000,189806fe-ca92-431d-978e-98a5af1f10ed,1632614400000,
3300,2100215,90,0,2021-10-05 07:03:11.541,2021-10-02 15:00:00.385,-1,120000,37,2546.22,165.80002,8723caf7-578c-4128-b6b3-c8461bedf9e4.extra_data.json,6fPiwL19M5,2800,com.sec.android.app.shealth,2097415,27420000,8723caf7-578c-4128-b6b3-c8461bedf9e4,1633219200000,
