com.samsung.shealth.sleep_snoring,6195017,2
duration,start_time,custom,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
87520,2021-10-04 17:25:40.116,,2021-10-04 21:54:22.014,2021-10-04 21:54:22.014,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:27:07.636,3272dec7-bfd9-47ab-8ca5-8f83a4bd99e7,
80838,2021-10-13 16:59:13.292,,2021-10-13 21:48:43.552,2021-10-13 21:48:43.552,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 17:00:34.130,7dbfb1a4-50de-4447-a922-480153c8f8ed,
386118,2021-10-13 17:24:11.427,,2021-10-13 21:48:43.554,2021-10-13 21:48:43.554,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 17:30:37.545,b2b0f429-54fd-4e13-86da-7c277803ecc0,
381483,2021-10-04 18:22:45.100,,2021-10-04 21:54:22.017,2021-10-04 21:54:22.017,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:29:06.583,b8380512-2d2b-4dc3-a56d-ce43eda4154b,
87427,2021-10-02 21:19:04.003,,2021-10-02 22:08:37.676,2021-10-02 22:08:37.676,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 21:20:31.430,e5aafd48-84eb-4310-b7fa-53976d992152,
116489,2021-10-13 18:43:42.076,,2021-10-13 21:48:43.557,2021-10-13 21:48:43.557,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:45:38.565,790e5f0c-1357-49e5-b55f-b8e487d8327d,
143708,2021-10-04 18:58:43.859,,2021-10-04 21:54:22.019,2021-10-04 21:54:22.019,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 19:01:07.567,88432e93-6e7f-4c73-8a4b-7b592e12dcba,
237416,2021-10-13 18:00:12.354,,2021-10-13 21:48:43.555,2021-10-13 21:48:43.555,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:04:09.770,d150c135-6cb2-431a-b8bd-d1bed08f66c7,
81587,2021-10-02 21:43:35.764,,2021-10-02 22:08:37.677,2021-10-02 22:08:37.677,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 21:44:57.351,f00d301c-0547-4cd8-b7a8-a51fc9276471,
143338,2021-10-04 14:19:43.041,,2021-10-04 21:54:22.010,2021-10-04 21:54:22.010,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 14:22:06.379,4ce069e9-0d9b-4d6e-8852-fcd2070eb6d9,
115654,2021-10-13 18:48:14.765,,2021-10-13 21:48:43.557,2021-10-13 21:48:43.557,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 18:50:10.419,5b2decb9-8f1d-440a-898e-d48231dc3470,
83534,2021-10-04 14:28:16.100,,2021-10-04 21:54:22.010,2021-10-04 21:54:22.010,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 14:29:39.634,a55cd91f-6d30-444d-8b72-62faad5f0ce9,
84453,2021-10-13 19:18:43.064,,2021-10-13 21:48:43.560,2021-10-13 21:48:43.560,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 19:20:07.517,f2d06a59-0f8b-4250-9132-9ebd8b432512,
106383,2021-10-13 14:05:16.593,,2021-10-13 21:48:43.546,2021-10-13 21:48:43.546,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 14:07:02.976,0f99ba14-b952-4b5c-8cf5-1a1a7ac5ddf4,
108702,2021-10-13 14:51:13.069,,2021-10-13 21:48:43.547,2021-10-13 21:48:43.547,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 14:53:01.771,f33361a6-6e3b-4a4f-a411-73a44ae466cc,
597416,2021-10-13 19:25:41.674,,2021-10-13 21:48:43.566,2021-10-13 21:48:43.566,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 19:35:39.090,10af0b9a-f454-4e95-a4aa-c7e74c2f2f5f,
83626,2021-10-04 16:07:44.034,,2021-10-04 21:54:22.012,2021-10-04 21:54:22.012,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 16:09:07.660,bc59c17f-9bbe-4134-af60-186f2195a96b,
327343,2021-10-13 15:37:12.345,,2021-10-13 21:48:43.550,2021-10-13 21:48:43.550,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 15:42:39.688,19be7b28-c84a-4c93-9537-a924439382e4,
597767,2021-10-04 17:13:41.136,,2021-10-04 21:54:22.014,2021-10-04 21:54:22.014,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:23:38.903,1867295c-1114-4546-9ef5-3f4611854f7e,
328250,2021-10-13 21:09:11.867,,2021-10-13 21:48:43.569,2021-10-13 21:48:43.569,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 21:14:40.117,e53e5689-16a1-4d6c-af84-6b5d14e3d320,
89743,2021-10-04 18:20:39.261,,2021-10-04 21:54:22.017,2021-10-04 21:54:22.017,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:22:09.004,616fb1c0-5c03-45d7-a5fe-a45bcef8f21c,
924357,2021-10-13 21:28:42.609,,2021-10-13 21:48:43.571,2021-10-13 21:48:43.571,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 21:44:06.966,33c512d8-ab1c-49ed-a911-3b72a5cbdb33,
82071,2021-10-18 15:24:46.436,,2021-10-18 21:13:45.356,2021-10-18 21:13:45.356,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 15:26:08.507,73c75642-50c7-49d2-988f-1917a2ceebde,
179455,2021-10-18 16:06:41.266,,2021-10-18 21:13:45.356,2021-10-18 21:13:45.356,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 16:09:40.721,3115d3b6-f363-47dd-b8a7-878eadd8acf2,
113337,2021-10-04 18:54:42.561,,2021-10-04 21:54:22.019,2021-10-04 21:54:22.019,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:56:35.898,4e35b858-5aaf-4e94-9da9-2968994a4cb4,
173059,2021-10-18 17:04:45.716,,2021-10-18 21:13:45.357,2021-10-18 21:13:45.357,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 17:07:38.775,6a7e815e-967e-4be2-bc21-84fb88b0d380,
530093,2021-10-18 17:15:17.662,,2021-10-18 21:13:45.358,2021-10-18 21:13:45.358,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 17:24:07.755,c0e4a494-dae8-409c-b6c9-83545d626403,
143059,2021-10-13 15:22:17.278,,2021-10-13 21:48:43.548,2021-10-13 21:48:43.548,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 15:24:40.337,8593ab1d-cf92-4b52-81a3-8aefa85364ec,
85480,2021-10-18 18:49:42.750,,2021-10-18 21:13:45.359,2021-10-18 21:13:45.359,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 18:51:08.230,c400e886-0ff0-4819-bf76-985a762e61f0,
83916,2021-10-13 16:33:16.053,,2021-10-13 21:48:43.551,2021-10-13 21:48:43.551,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 16:34:39.969,bbc2fe8c-b0c9-478c-bf6f-f57a439031f4,
87613,2021-10-18 18:38:42.379,,2021-10-18 21:13:45.359,2021-10-18 21:13:45.359,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-18 18:40:09.992,9891ccb6-5e9b-40d7-91b2-51ece004cb19,
