com.samsung.shealth.step_daily_trend,6195017,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
52160efd-7e12-4a1c-9705-c259b94bfc10.binning_data.json,2021-10-05 07:03:11.281,2021-10-05 07:03:11.281,com.sec.android.app.shealth,0,1663,1.427691,1274.26,83.45,6fPiwL19M5,com.sec.android.app.shealth,52160efd-7e12-4a1c-9705-c259b94bfc10,1632614400000,
79258942-968b-4a28-aa3b-8cfdd13867bf.binning_data.json,2021-10-05 16:29:46.923,2021-10-05 07:03:11.707,com.sec.android.app.shealth,0,6715,1.3007736,4733.17,266.4,6fPiwL19M5,com.sec.android.app.shealth,79258942-968b-4a28-aa3b-8cfdd13867bf,1633392000000,
88a758d1-9f73-4e42-9c88-9665050c5824.binning_data.json,2021-10-05 07:03:11.527,2021-10-05 07:03:11.527,com.sec.android.app.shealth,0,3300,1.352716,2546.22,165.8,6fPiwL19M5,com.sec.android.app.shealth,88a758d1-9f73-4e42-9c88-9665050c5824,1633219200000,
59fbf183-8c5c-4c14-9d4d-ac7de5c99c4c.binning_data.json,2021-10-05 07:03:20.067,2021-10-05 07:03:20.067,com.sec.android.app.shealth,102,15,1.2777779,10.38,0.36,DQQ9M5Fmpd,com.sec.android.app.shealth,59fbf183-8c5c-4c14-9d4d-ac7de5c99c4c,1633305600000,
341cd7a1-7c81-4b2d-b0c9-aadcff25ea03.binning_data.json,2021-10-05 07:31:36.845,2021-10-05 07:31:36.845,com.sec.android.app.shealth,-2,9751,1.3594639,7430.1797,492.67,VfS0qUERdZ,com.sec.android.app.shealth,341cd7a1-7c81-4b2d-b0c9-aadcff25ea03,1632873600000,
297fd8f1-5421-4f39-8ae8-053455774a96.binning_data.json,2021-10-05 07:31:37.344,2021-10-05 07:31:37.344,com.sec.android.app.shealth,-2,1663,1.427691,1274.26,83.45,VfS0qUERdZ,com.sec.android.app.shealth,297fd8f1-5421-4f39-8ae8-053455774a96,1632614400000,
1c2ba677-70d4-4b65-8ec0-f43d93882899.binning_data.json,2021-10-05 07:31:37.860,2021-10-05 07:31:37.860,com.sec.android.app.shealth,-2,8047,1.3189956,6017.63,417.38998,VfS0qUERdZ,com.sec.android.app.shealth,1c2ba677-70d4-4b65-8ec0-f43d93882899,1632355200000,
765db99f-7608-41f4-ad26-734f7ef99040.binning_data.json,2021-10-05 07:31:38.307,2021-10-05 07:31:38.307,com.sec.android.app.shealth,-2,1628,1.3765486,1258.7,80.51,VfS0qUERdZ,com.sec.android.app.shealth,765db99f-7608-41f4-ad26-734f7ef99040,1632182400000,
88c408f3-e1af-4eb5-acf1-1834ea7b9557.binning_data.json,2021-10-05 07:31:38.626,2021-10-05 07:31:38.626,com.sec.android.app.shealth,-2,5015,1.2990278,3673.16,269.6,VfS0qUERdZ,com.sec.android.app.shealth,88c408f3-e1af-4eb5-acf1-1834ea7b9557,1631750400000,
1acecc38-077e-47bd-b6de-82bf7ad7b78f.binning_data.json,2021-10-05 07:31:38.961,2021-10-05 07:31:38.961,com.sec.android.app.shealth,-2,3522,1.3478968,2615.99,184.28,VfS0qUERdZ,com.sec.android.app.shealth,1acecc38-077e-47bd-b6de-82bf7ad7b78f,1631577600000,
73b144ef-3ce7-4ec0-beba-25f87c29102a.binning_data.json,2021-10-05 07:31:39.278,2021-10-05 07:31:39.278,com.sec.android.app.shealth,-2,2616,1.2358326,1942.26,134.98,VfS0qUERdZ,com.sec.android.app.shealth,73b144ef-3ce7-4ec0-beba-25f87c29102a,1631232000000,
c4efe78e-3d0c-4c59-b627-133cbea2457f.binning_data.json,2021-10-05 07:31:37.903,2021-10-05 07:31:37.903,com.sec.android.app.shealth,-2,2545,1.3920689,1933.45,130.75,VfS0qUERdZ,com.sec.android.app.shealth,c4efe78e-3d0c-4c59-b627-133cbea2457f,1632268800000,
758eab9e-52e2-4a25-a40e-ade69b628760.binning_data.json,2021-10-05 07:03:11.037,2021-10-05 07:03:11.037,com.sec.android.app.shealth,0,1628,1.3765486,1258.7,80.51,6fPiwL19M5,com.sec.android.app.shealth,758eab9e-52e2-4a25-a40e-ade69b628760,1632182400000,
70c3935a-5d95-4dfd-9011-20ae9533d6a2.binning_data.json,2021-10-06 10:15:20.069,2021-10-05 21:50:14.663,com.sec.android.app.shealth,-2,9551,1.2656822,6543.4985,293.42023,VfS0qUERdZ,com.sec.android.app.shealth,70c3935a-5d95-4dfd-9011-20ae9533d6a2,1633478400000,
60d5cb9a-ffad-4da2-ac9e-1c29084a5da0.binning_data.json,2021-10-05 07:03:11.231,2021-10-05 07:03:11.231,com.sec.android.app.shealth,0,2102,1.3461652,1546.79,111.67,6fPiwL19M5,com.sec.android.app.shealth,60d5cb9a-ffad-4da2-ac9e-1c29084a5da0,1632528000000,
80a4e0b8-3bc9-4a05-9aae-f495e17b8753.binning_data.json,2021-10-06 16:25:18.808,2021-10-06 16:25:18.808,com.sec.android.app.shealth,102,8473,1.25224,5878.2603,254.54063,DQQ9M5Fmpd,com.sec.android.app.shealth,80a4e0b8-3bc9-4a05-9aae-f495e17b8753,1633478400000,
b5720cd9-21a3-4587-9bc5-b1da6343eb12.binning_data.json,2021-10-05 07:31:38.629,2021-10-05 07:31:38.629,com.sec.android.app.shealth,-2,4183,1.3121253,3193.91,208.33,VfS0qUERdZ,com.sec.android.app.shealth,b5720cd9-21a3-4587-9bc5-b1da6343eb12,1631923200000,
372c3354-efc3-4d4d-86cd-68c205c61aa8.binning_data.json,2021-10-05 07:03:11.305,2021-10-05 07:03:11.305,com.sec.android.app.shealth,0,3979,1.2748777,2948.25,208.9,6fPiwL19M5,com.sec.android.app.shealth,372c3354-efc3-4d4d-86cd-68c205c61aa8,1632787200000,
d465a44b-fc2a-4c83-9f3e-1b255ee0b148.binning_data.json,2021-10-08 21:38:50.210,2021-10-07 17:30:27.430,com.sec.android.app.shealth,-2,8996,1.2782787,6163.8145,277.28098,VfS0qUERdZ,com.sec.android.app.shealth,d465a44b-fc2a-4c83-9f3e-1b255ee0b148,1633651200000,
bc54ceff-c16b-4021-9cd7-76c029e7e625.binning_data.json,2021-10-05 07:03:11.586,2021-10-05 07:03:11.586,com.sec.android.app.shealth,0,7429,1.3437064,5586.72,379.63,6fPiwL19M5,com.sec.android.app.shealth,bc54ceff-c16b-4021-9cd7-76c029e7e625,1632960000000,
ae4d1613-ac27-4588-bd8c-8c0820ab0092.binning_data.json,2021-10-09 15:00:13.898,2021-10-08 15:46:56.168,com.sec.android.app.shealth,102,7584,1.2478185,5250.09,232.40138,DQQ9M5Fmpd,com.sec.android.app.shealth,ae4d1613-ac27-4588-bd8c-8c0820ab0092,1633651200000,
45094c19-62fa-456f-aa56-00719a8753d5.binning_data.json,2021-10-05 07:31:39.292,2021-10-05 07:31:39.292,com.sec.android.app.shealth,-2,3976,1.3305973,3030.17,200.51999,VfS0qUERdZ,com.sec.android.app.shealth,45094c19-62fa-456f-aa56-00719a8753d5,1631318400000,
97647914-b205-4392-a848-614d378734f4.binning_data.json,2021-10-05 16:30:51.805,2021-10-05 07:03:20.011,com.sec.android.app.shealth,102,3604,1.3080058,2527.161,106.76999,DQQ9M5Fmpd,com.sec.android.app.shealth,97647914-b205-4392-a848-614d378734f4,1633392000000,
fc680d4f-294d-46fa-9abd-95b3ea82c521.binning_data.json,2021-10-10 22:04:56.207,2021-10-09 22:15:38.379,com.sec.android.app.shealth,-2,4700,1.2555611,3248.4268,138.65025,VfS0qUERdZ,com.sec.android.app.shealth,fc680d4f-294d-46fa-9abd-95b3ea82c521,1633824000000,
f6bef5e9-1bca-4a8a-8f5a-8df2d3586284.binning_data.json,2021-10-05 07:31:36.754,2021-10-05 07:31:36.754,com.sec.android.app.shealth,-2,7429,1.3437064,5586.72,379.63,VfS0qUERdZ,com.sec.android.app.shealth,f6bef5e9-1bca-4a8a-8f5a-8df2d3586284,1632960000000,
229055ad-eeac-4ba1-b0e5-9800e73e7cba.binning_data.json,2021-10-12 15:03:10.098,2021-10-10 15:00:09.741,com.sec.android.app.shealth,102,3838,1.1678463,2615.7417,110.68062,DQQ9M5Fmpd,com.sec.android.app.shealth,229055ad-eeac-4ba1-b0e5-9800e73e7cba,1633824000000,
de089936-d504-4829-894d-5cfa846c8ceb.binning_data.json,2021-10-07 13:37:05.351,2021-10-06 22:54:08.600,com.sec.android.app.shealth,-2,11288,1.3286465,7761.9653,342.7008,VfS0qUERdZ,com.sec.android.app.shealth,de089936-d504-4829-894d-5cfa846c8ceb,1633564800000,
eb6a30f7-077f-4485-a10c-039a6f8eee8f.binning_data.json,2021-10-05 07:31:37.248,2021-10-05 07:31:37.248,com.sec.android.app.shealth,-2,3979,1.2748777,2948.25,208.9,VfS0qUERdZ,com.sec.android.app.shealth,eb6a30f7-077f-4485-a10c-039a6f8eee8f,1632787200000,
22736d2c-5a55-4b38-91d9-6636bcf2aa9b.binning_data.json,2021-10-12 15:02:57.717,2021-10-12 15:02:57.717,com.sec.android.app.shealth,0,5438,1.3806481,3716.46,171.46,6fPiwL19M5,com.sec.android.app.shealth,22736d2c-5a55-4b38-91d9-6636bcf2aa9b,1633996800000,
884cd753-4415-4fc1-9059-26830e62a486.binning_data.json,2021-10-05 07:31:37.842,2021-10-05 07:31:37.842,com.sec.android.app.shealth,-2,4939,1.2489104,3617.0,260.99,VfS0qUERdZ,com.sec.android.app.shealth,884cd753-4415-4fc1-9059-26830e62a486,1632441600000,
a72336d3-9a81-444c-a718-6eb38f5aceb5.binning_data.json,2021-10-12 15:03:10.151,2021-10-12 15:03:10.151,com.sec.android.app.shealth,102,10,1.1196398,6.5,0.31,DQQ9M5Fmpd,com.sec.android.app.shealth,a72336d3-9a81-444c-a718-6eb38f5aceb5,1633910400000,
b358d4b8-d133-492f-889f-3814a6f37e1c.binning_data.json,2021-10-09 22:15:39.274,2021-10-09 00:21:05.516,com.sec.android.app.shealth,-2,9989,1.2084426,6859.276,294.42606,VfS0qUERdZ,com.sec.android.app.shealth,b358d4b8-d133-492f-889f-3814a6f37e1c,1633737600000,
e47a4d8c-17df-4ea6-a63f-b186e152be87.binning_data.json,2021-10-05 07:31:38.305,2021-10-05 07:31:38.305,com.sec.android.app.shealth,-2,2210,1.3065485,1659.21,111.57,VfS0qUERdZ,com.sec.android.app.shealth,e47a4d8c-17df-4ea6-a63f-b186e152be87,1632096000000,
fd9709cd-ed92-4ba5-9aa1-84e1a2c6ee8a.binning_data.json,2021-10-14 21:55:59.306,2021-10-13 22:55:27.564,com.sec.android.app.shealth,-2,6152,1.190025,4152.5806,187.43999,VfS0qUERdZ,com.sec.android.app.shealth,fd9709cd-ed92-4ba5-9aa1-84e1a2c6ee8a,1634169600000,
34db9b4b-2051-4bf0-b0f0-2f105af6c942.binning_data.json,2021-10-05 07:31:38.599,2021-10-05 07:31:38.599,com.sec.android.app.shealth,-2,3373,1.3713859,2563.6802,176.46002,VfS0qUERdZ,com.sec.android.app.shealth,34db9b4b-2051-4bf0-b0f0-2f105af6c942,1631836800000,
3e581c78-2d1f-4f92-b3a4-451e23ada97b.binning_data.json,2021-10-15 18:23:21.950,2021-10-14 16:22:42.796,com.sec.android.app.shealth,102,5459,1.16654,3721.0684,161.89072,DQQ9M5Fmpd,com.sec.android.app.shealth,3e581c78-2d1f-4f92-b3a4-451e23ada97b,1634169600000,
4582dc8c-9277-46a6-b09b-dc0b867dd924.binning_data.json,2021-10-11 15:15:52.180,2021-10-11 15:15:52.180,com.sec.android.app.shealth,0,13,1.6944444,9.72,0.34,6fPiwL19M5,com.sec.android.app.shealth,4582dc8c-9277-46a6-b09b-dc0b867dd924,1633910400000,
