com.samsung.shealth.exercise,6195017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,711748,,,,31:00.0,1001,,,,,30001,,,,15:04.2,15:04.2,,1.5277778,,,1256,817.68,,71.43,,,,UTC+0900,1pqYBn0PvJ,,,a6f9931c-5d8c-4e22-bca9-f7e67a4ab9b9.com.samsung.health.exercise.live_data.json,,1.1488335,com.sec.android.app.shealth,,,,42:51.0,a6f9931c-5d8c-4e22-bca9-f7e67a4ab9b9
,,,,1,,,,4,0,0,,,,,,,,,790461,,,,30:00.0,1001,,,,,,,,,01:55.4,01:55.4,,1.4722222,,,,1089.14,,72.29,,,,UTC+0900,1pqYBn0PvJ,,,d2a0cab9-2c17-4f7f-9566-84231433e813.com.samsung.health.exercise.live_data.json,,1.3778542,com.sec.android.app.shealth,,,,43:10.0,d2a0cab9-2c17-4f7f-9566-84231433e813
,,,,1,,,,4,0,0,,,,,,,,,2190991,,,,46:07.0,1001,,,,,30001,,,,25:20.6,25:20.6,,1.5833334,,,3459,2525.94,,184.18,,,,UTC+0900,1pqYBn0PvJ,,,beb86d49-d701-4247-a432-16e5716781a2.com.samsung.health.exercise.live_data.json,,1.1528755,com.sec.android.app.shealth,,,,22:37.0,beb86d49-d701-4247-a432-16e5716781a2
,,,,1,,,,4,0,0,,,,,,,,,692048,,,,05:00.0,1001,,,,,30001,,,,28:53.9,30:08.2,,1.4166666,,,1052,788.73,,53.71,,,,UTC+0900,1pqYBn0PvJ,,,c92cd624-efe0-4e54-8b61-67a2b5f61772.com.samsung.health.exercise.live_data.json,,1.1397043,com.sec.android.app.shealth,,,,16:32.0,c92cd624-efe0-4e54-8b61-67a2b5f61772
,,,,1,,,,4,0,0,,,,,,,,,905055,,,,28:01.0,1001,,,,,,,,,55:01.6,55:01.6,,1.6111112,,,,1190.36,,78.73,,,,UTC+0900,1pqYBn0PvJ,,,62506ce0-86ac-4ebe-ac78-bb89840ae1a0.com.samsung.health.exercise.live_data.json,,1.315235,com.sec.android.app.shealth,,,,43:06.0,62506ce0-86ac-4ebe-ac78-bb89840ae1a0
,,,,1,,,,4,0,0,,,,,,,,,946004,,,,37:18.0,1001,,,,,30001,,,,55:00.4,55:00.4,,1.4722222,,,1593,1193.86,,79.89,,,,UTC+0900,1pqYBn0PvJ,,,a523e035-44fb-4806-9b9d-cab3a6bcb5ba.com.samsung.health.exercise.live_data.json,,1.2620032,com.sec.android.app.shealth,,,,53:04.0,a523e035-44fb-4806-9b9d-cab3a6bcb5ba
,,,,1,,,,4,0,0,,,,,,,,,724422,,,,08:00.0,1001,,,,,30001,,,,22:23.8,22:23.8,,1.3888888,,,1216,927.3,,60.79,,,,UTC+0900,1pqYBn0PvJ,,,3a403b54-4c37-4439-ab04-c02e87885928.com.samsung.health.exercise.live_data.json,,1.280055,com.sec.android.app.shealth,,,,20:04.0,3a403b54-4c37-4439-ab04-c02e87885928
99e96d8b-027d-4ba5-af46-153a98bd1c39.live_data_internal.json,9780000,,189.28223,0,,,,1,2,0,,1,,0,,,99e96d8b-027d-4ba5-af46-153a98bd1c39.location_data_internal.json,,1412123,,,99e96d8b-027d-4ba5-af46-153a98bd1c39.com.samsung.health.exercise.location_data.json,51:08.2,1001,,46.98415,447,,30001,,5.382845,,15:37.8,51:08.2,,2.1218085,,,2443,2086.56,,188,,293,,UTC+0900,1pqYBn0PvJ,,,99e96d8b-027d-4ba5-af46-153a98bd1c39.com.samsung.health.exercise.live_data.json,,1.4777361,com.sec.android.app.shealth,60.926266,48.34159,,15:37.5,99e96d8b-027d-4ba5-af46-153a98bd1c39
,,,,1,,,,4,0,0,,,,,,,,,1636693,,,,19:00.0,1001,,,,,,,,,54:57.9,54:57.9,,1.3888888,,,,1963.43,,146.84,,,,UTC+0900,1pqYBn0PvJ,,,e932eb11-bd81-424c-92c3-a9be51149699.com.samsung.health.exercise.live_data.json,,1.1996324,com.sec.android.app.shealth,,,,46:16.0,e932eb11-bd81-424c-92c3-a9be51149699
,,,,1,,,,4,0,0,,,,,,,,,783216,,,,32:02.0,1001,,,,,30001,,,,55:02.9,55:02.9,,1.6111112,,,1434,976.68,,79.49,,,,UTC+0900,1pqYBn0PvJ,,,31c36d5b-c7d4-4310-b2c3-7123786a16e6.com.samsung.health.exercise.live_data.json,,1.2470124,com.sec.android.app.shealth,,,,45:05.0,31c36d5b-c7d4-4310-b2c3-7123786a16e6
