com.samsung.shealth.food_frequent,6195017,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.71,2021-10-07 05:14:22.386,2021-10-07 05:14:22.386,0.71,0.71,0.71,6GQM7Ab3PF,com.sec.android.app.shealth,0.71,958b557d-2bc5-47e8-a226-61097d30613a,0c656554-5384-4f3c-9428-dfe99283480d,0.71,
0.91,2021-10-08 01:57:18.121,2021-10-08 01:57:18.121,0.91,0.91,0.91,6GQM7Ab3PF,com.sec.android.app.shealth,0.91,4c14c740-e921-4fbc-a7f3-b49551392560,083f49d4-1ceb-47e1-9a55-b9e9f6f18ca3,0.91,
0.79,2021-10-07 05:14:22.374,2021-10-07 05:14:22.374,0.79,0.79,0.79,6GQM7Ab3PF,com.sec.android.app.shealth,0.79,38ec2c78-bcb2-49ed-9c45-0e03832310a5,8f3243ae-a4cd-4a32-9936-2f77f781c81e,0.79,
0.75,2021-10-01 01:43:37.687,2021-10-01 01:43:37.687,0.75,0.75,0.75,6fPiwL19M5,com.sec.android.app.shealth,0.75,966c72db-5f8f-46b8-a4e0-6edfd477e879,717d7613-f3b6-4020-818d-d6329f36a6ef,0.75,
0.99,2021-10-08 01:57:18.120,2021-10-08 01:57:18.120,0.99,0.99,0.99,6GQM7Ab3PF,com.sec.android.app.shealth,0.99,37656a87-454e-46f1-b190-c74efb320664,a843e542-e4de-46a5-a363-473aa3fef635,0.99,
0.67,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.67,0.67,0.67,O8xSl/tW6F,com.sec.android.app.shealth,0.67,D7B3F908-04F5-43BF-BEE1-256735F4CEE6,22CDA2A6-7425-4B31-95E3-718C687E3215,0.67,
0.71,2021-10-08 01:57:18.133,2021-10-08 01:57:18.133,0.71,0.71,0.71,6GQM7Ab3PF,com.sec.android.app.shealth,0.71,24e82a81-0f0f-48fd-b410-0a67059a274e,272a5b30-78a3-4e2e-bb1e-db6ffed74594,0.71,
0.95,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.95,0.95,0.95,O8xSl/tW6F,com.sec.android.app.shealth,0.95,14653D93-CE33-4DF2-8544-3E55BF6279CF,B2F20FC3-0CEB-4CF0-B6A1-9C04B767369C,0.95,
1.0,2021-10-08 01:58:04.043,2021-10-08 01:58:04.043,1.0,0.0,0.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,bb2e9fe9-295a-4a5d-96b3-c645ba7359fc,cb344e51-52fd-47cb-abeb-7e33c3ef76bc,0.0,
0.71,2019-12-26 23:15:18.644,2019-12-26 23:15:18.644,0.71,0.71,0.71,1pqYBn0PvJ,com.sec.android.app.shealth,0.71,52411721-6e93-429b-a3b1-45218e4e4e05,8be44a48-3486-4783-8e80-df752d508f72,0.71,
0.95,2021-10-07 05:14:22.356,2021-10-07 05:14:22.356,0.95,0.95,0.95,6GQM7Ab3PF,com.sec.android.app.shealth,0.95,ba3cb7ae-9a1a-4aaa-8b6d-41587df57bf1,e34ac369-f503-4fa6-8e0f-3f5ee7c2ecd2,0.95,
0.0,2021-10-08 01:58:04.043,2021-10-08 01:58:04.043,0.0,0.0,0.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,87d01c6b-23f3-417d-9526-08feefc238e8,8adb5379-58a8-4ebc-aed3-381e864687ad,1.0,
0.63,2021-10-07 05:14:22.427,2021-10-07 05:14:22.427,0.63,0.63,0.63,6GQM7Ab3PF,com.sec.android.app.shealth,0.63,285e5aed-c3de-482f-b7ff-002c7bacaa28,f91ef89d-b186-4715-9909-85ff1bb12e8f,0.63,
0.0,2021-10-08 01:58:04.044,2021-10-08 01:58:04.044,0.0,0.0,1.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,b58e012b-aa03-4c96-8fac-5e41c8595ea7,135f98b8-8a4b-4011-be52-0b882f487a8a,0.0,
0.95,2021-10-08 01:57:18.120,2021-10-08 01:57:18.120,0.95,0.95,0.95,6GQM7Ab3PF,com.sec.android.app.shealth,0.95,a3345f8a-b0f0-4146-a4f9-123eda719141,f9059f25-ed4e-4d8d-a9c4-46fb994c022c,0.95,
0.83,2021-10-08 01:57:18.125,2021-10-08 01:57:18.125,0.83,0.83,0.83,6GQM7Ab3PF,com.sec.android.app.shealth,0.83,440659db-3ecb-4678-a677-653c1e3bc5e5,8008fb47-5662-43d9-8a7b-45f11954542c,0.83,
0.0,2021-10-08 01:58:04.044,2021-10-08 01:58:04.044,0.0,0.0,1.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,58fdadf5-2767-415a-b141-dd927ae396a6,155c083d-b284-48a4-8ec7-3a5df6158ea2,0.0,
