com.samsung.shealth.calories_burned.details,6195017,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,8997ade5-7b0f-4998-b4b2-670285712a01.extra_data.json,0.0,6006599,1555.5688,2021-10-26 03:30:00.894,2021-10-01 01:43:44.236,492.66992,6fPiwL19M5,com.sec.android.app.shealth,8997ade5-7b0f-4998-b4b2-670285712a01,1632873600000,
,,cc26b93a-f5b9-43d8-a010-fb219ef929e3.extra_data.json,0.0,0,1268.882,2021-10-01 01:43:54.040,2021-10-01 01:43:42.768,0.0,6fPiwL19M5,com.sec.android.app.shealth,cc26b93a-f5b9-43d8-a010-fb219ef929e3,1630972800000,
,,4d989cc0-c9e5-464f-bfbc-6710a350d25b.extra_data.json,0.0,7113418,1469.0494,2021-10-26 03:30:02.618,2021-10-06 16:21:11.270,351.9486,6fPiwL19M5,com.sec.android.app.shealth,4d989cc0-c9e5-464f-bfbc-6710a350d25b,1633564800000,
,,d1673cd3-bd06-4e9f-a72f-a15c4aa4004b.extra_data.json,0.0,2385409,1644.5197,2021-10-05 07:03:12.325,2021-10-01 01:43:43.212,192.59998,6fPiwL19M5,com.sec.android.app.shealth,d1673cd3-bd06-4e9f-a72f-a15c4aa4004b,1631491200000,
,,acad624a-ae7b-40d7-afe1-9bc2140a7b43.extra_data.json,0.0,5016819,1507.896,2021-10-26 03:30:04.784,2021-10-12 15:02:43.838,282.40088,6fPiwL19M5,com.sec.android.app.shealth,acad624a-ae7b-40d7-afe1-9bc2140a7b43,1634083200000,
,,1f0fcb98-ec29-4a86-a46d-f7306c8752c8.extra_data.json,0.0,5738543,1494.5236,2021-10-26 03:30:02.498,2021-10-05 16:29:19.733,294.04752,6fPiwL19M5,com.sec.android.app.shealth,1f0fcb98-ec29-4a86-a46d-f7306c8752c8,1633478400000,
,,2bbeb38a-11d7-4a1e-aec5-07d2f8accfb0.extra_data.json,0.0,4031070,1526.1602,2021-10-26 03:30:09.682,2021-10-18 15:00:02.073,207.43307,6fPiwL19M5,com.sec.android.app.shealth,2bbeb38a-11d7-4a1e-aec5-07d2f8accfb0,1634601600000,
,,8e1c93ef-5fba-4ca8-9899-50cdfc210427.extra_data.json,0.0,3346623,1538.8418,2021-10-26 00:57:03.040,2021-10-24 16:12:10.265,222.72,6fPiwL19M5,com.sec.android.app.shealth,8e1c93ef-5fba-4ca8-9899-50cdfc210427,1635120000000,
,,33b26bae-d29c-4381-aa52-18c9faf827a6.extra_data.json,0.0,3395217,1624.7534,2021-10-05 07:03:12.573,2021-10-01 01:43:43.705,268.31998,6fPiwL19M5,com.sec.android.app.shealth,33b26bae-d29c-4381-aa52-18c9faf827a6,1632009600000,
,,3db136df-f882-42e7-b10b-f4ad1190f635.extra_data.json,0.0,34017,1634.2836,2021-10-31 17:02:06.215,2021-10-30 16:39:33.114,2.1800003,6fPiwL19M5,com.sec.android.app.shealth,3db136df-f882-42e7-b10b-f4ad1190f635,1635638400000,
